"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000026095",0.863275077719061,2.85138747724457,10.3291279851822,0.00689566347343401,0.0140262213855921,"Asnsd1","asparagine synthetase domain containing 1","70396"
"ENSMUSG00000029250",0.696294270620212,5.35970432404408,10.32593226691,0.00690069280962005,0.0140348735391699,"Polr2b","polymerase (RNA) II (DNA directed) polypeptide B","231329"
"ENSMUSG00000032512",0.908167292464324,4.68017516915397,10.323877594543,0.00690507022685608,0.0140421980009562,"Wdr48","WD repeat domain 48","67561"
"ENSMUSG00000019977",0.693874398763443,5.54353770747509,10.3224704667524,0.00690777747686828,0.014046124734657,"Hbs1l","Hbs1-like (S. cerevisiae)","56422"
"ENSMUSG00000029833",-1.64734750429504,2.65969877783133,10.3237898146553,0.00690929195460258,0.0140476255011377,"Trim24","tripartite motif-containing 24","21848"
"ENSMUSG00000102623",-6.52181005671731,-0.913224482845629,11.1171664234241,0.00691510443372262,0.0140578634291397,NA,NA,NA
"ENSMUSG00000009394",-1.77019311831992,2.73689904278613,10.3199523470173,0.0069200647724646,0.0140663669169983,"Syn2","synapsin II","20965"
"ENSMUSG00000020152",0.768436820292102,6.2168321429175,10.3132485125193,0.00692676354514373,0.0140784017998523,"Actr2","actin related protein 2","66713"
"ENSMUSG00000029036",0.6623216721241,5.00550105434989,10.3109715304585,0.00693161224816049,0.0140866742003783,"Atad3a","ATPase family, AAA domain containing 3A","108888"
"ENSMUSG00000100985",-4.08197768212604,-1.18826931718821,10.4244677137998,0.00693632870498643,0.0140933363539811,NA,NA,NA
"ENSMUSG00000040549",-0.830330451514646,5.62887487050032,10.308586756292,0.00693644836302448,0.0140933363539811,"Ckap5","cytoskeleton associated protein 5","75786"
"ENSMUSG00000042496",-1.09141761471493,2.07594824209798,10.309447011,0.00694065848360127,0.0141000899061195,"Prdm10","PR domain containing 10","382066"
"ENSMUSG00000036106",-0.874768391420986,3.41199883746712,10.3066547764468,0.00694133094532729,0.0141000899061195,"Prr5","proline rich 5 (renal)","109270"
"ENSMUSG00000121172",-3.81986052005119,-1.20245250441757,10.3937176353234,0.0069601158405179,0.0141366609679491,NA,NA,NA
"ENSMUSG00000120421",-3.2365375339078,-1.21102159334516,9.50783605638896,0.00696484077973813,0.0141446699099565,"Gm53618","predicted gene, 53618","118567831"
"ENSMUSG00000028656",1.03779889718351,4.56243017188288,10.2923380896874,0.00697033657682133,0.0141542423888247,"Cap1","cyclase associated actin cytoskeleton regulatory protein 1","12331"
"ENSMUSG00000108665",-7.28028478211511,-0.559570810368219,11.0724456791895,0.00697358120956154,0.0141579368530695,NA,NA,NA
"ENSMUSG00000029038",0.748424138225619,7.03431950534886,10.2905728334647,0.00697372095476456,0.0141579368530695,"Ssu72","Ssu72 RNA polymerase II CTD phosphatase homolog (yeast)","68991"
"ENSMUSG00000061904",0.663162429293574,8.69500491762633,10.2899151328368,0.00697508720196221,0.0141591218158984,"Slc25a3","solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3","18674"
"ENSMUSG00000035849",-3.13307498350364,-0.405006629465841,9.54234325622709,0.00697778331138454,0.0141630057721428,"Krt222","keratin 222","268481"
"ENSMUSG00000086152",-5.79675053255719,-1.4641557300087,10.9837522672684,0.00698197625913691,0.0141699266917066,"Gm11454","predicted gene 11454","100504589"
"ENSMUSG00000023110",0.719076203208749,5.43216363254422,10.2856786850988,0.00698394392895394,0.0141723303618847,"Prmt5","protein arginine N-methyltransferase 5","27374"
"ENSMUSG00000000881",1.10414956154217,3.34275082483936,10.2839329217191,0.00698852588045254,0.0141800379897979,"Dlg3","discs large MAGUK scaffold protein 3","53310"
