"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000031972",8.90462612152804,2.98625125264116,340.363492882496,9.35046445351141e-14,1.14276896147188e-09,"Acta1","actin alpha 1, skeletal muscle","11459"
"ENSMUSG00000028238",10.4920919258608,7.87545088518655,503.118185538428,1.42802373089486e-13,1.14276896147188e-09,"Atp6v0d2","ATPase, H+ transporting, lysosomal V0 subunit D2","242341"
"ENSMUSG00000051041",-8.47128384822259,6.15175637439542,606.880428839419,1.89482500658578e-13,1.14276896147188e-09,"Olfml1","olfactomedin-like 1","244198"
"ENSMUSG00000050578",9.76867459850661,7.12670911750587,456.311310568852,4.52561335390472e-13,1.6717542161986e-09,"Mmp13","matrix metallopeptidase 13","17386"
"ENSMUSG00000004894",-8.99189175488739,6.77464118537981,650.431027923099,4.61989226827668e-13,1.6717542161986e-09,"Hapln2","hyaluronan and proteoglycan link protein 2","73940"
"ENSMUSG00000009654",8.87466068129339,3.33282845250905,302.654825298021,8.26536212408851e-13,2.49241994851889e-09,"Oit3","oncoprotein induced transcript 3","18302"
"ENSMUSG00000019997",8.76784854514744,8.99490863905654,719.943189850358,1.21606358019119e-12,2.86577930875011e-09,"Ccn2","cellular communication network factor 2","14219"
"ENSMUSG00000001773",-7.70206636289179,4.25175244065306,372.042875730125,1.26713283977233e-12,2.86577930875011e-09,"Folh1","folate hydrolase 1","53320"
"ENSMUSG00000062515",7.20367269422736,6.31030068097763,598.295908238482,1.9725587052236e-12,3.96550051706785e-09,"Fabp4","fatty acid binding protein 4, adipocyte","11770"
"ENSMUSG00000044206",8.38765883846853,2.47756257359293,231.948338375731,3.04272869254855e-12,5.5052090234281e-09,"Vsig4","V-set and immunoglobulin domain containing 4","278180"
"ENSMUSG00000040133",6.90614352543948,4.12723738530751,498.852986617558,3.87876060396459e-12,6.37985596432104e-09,"Gpr176","G protein-coupled receptor 176","381413"
"ENSMUSG00000090164",-8.47460780723313,4.76384812968937,322.869627513882,6.09798408831519e-12,9.19423550915722e-09,"BC035044","cDNA sequence BC035044","232406"
"ENSMUSG00000042367",6.91119475130669,1.67786713236775,215.393174629312,6.88504947914861e-12,9.36266845412623e-09,"Gjb3","gap junction protein, beta 3","14620"
"ENSMUSG00000043448",-8.54817452535387,5.90181311854117,412.41645029397,7.24464479952287e-12,9.36266845412623e-09,"Gjc2","gap junction protein, gamma 2","118454"
"ENSMUSG00000022311",-7.06807643821889,4.85920739657957,424.692215586829,8.27688416033543e-12,9.68840223093529e-09,"Csmd3","CUB and Sushi multiple domains 3","239420"
"ENSMUSG00000062345",7.20369235431843,3.14888657936265,266.943593300463,8.56764691841953e-12,9.68840223093529e-09,"Serpinb2","serine (or cysteine) peptidase inhibitor, clade B, member 2","18788"
"ENSMUSG00000040759",-7.42180915356558,8.03031323336846,507.008844080887,1.14162847730141e-11,1.21502847293026e-08,"Cmtm5","CKLF-like MARVEL transmembrane domain containing 5","67272"
"ENSMUSG00000090958",6.35350720477254,5.87071060140339,479.938280202896,1.56881111520821e-11,1.37770112213543e-08,"Lrrc32","leucine rich repeat containing 32","434215"
"ENSMUSG00000024411",-7.34194002636103,6.47523955135224,483.935860090315,1.60337339259031e-11,1.37770112213543e-08,"Aqp4","aquaporin 4","11829"
"ENSMUSG00000056222",-5.8890186913946,5.62024810838259,483.847106741991,1.60492736456984e-11,1.37770112213543e-08,"Spock1","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1","20745"
"ENSMUSG00000034648",-7.29021202368914,5.4763665519889,453.222653718818,1.60765905358135e-11,1.37770112213543e-08,"Lrrn1","leucine rich repeat protein 1, neuronal","16979"
"ENSMUSG00000032291",8.21501407709501,3.19239268232356,209.669680313825,1.67520171817717e-11,1.37770112213543e-08,"Crabp1","cellular retinoic acid binding protein I","12903"
"ENSMUSG00000054162",-8.3332276870278,5.56552944229646,278.467138329715,1.85788451169618e-11,1.46150889000518e-08,"Spock3","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3","72902"
"ENSMUSG00000027375",-7.41231162034244,9.09532379707044,459.203865504127,2.0460209096729e-11,1.5050014867575e-08,"Mal","myelin and lymphocyte protein, T cell differentiation protein","17153"
"ENSMUSG00000091243",9.19045184095158,4.40363576036006,300.753838900758,2.07953557557826e-11,1.5050014867575e-08,"Vgll3","vestigial like family member 3","73569"
"ENSMUSG00000033579",-8.16333225691745,6.15013044998276,403.177321720468,2.53409161809085e-11,1.76343537100453e-08,"Fa2h","fatty acid 2-hydroxylase","338521"
"ENSMUSG00000031465",6.22498390238461,6.40499513248798,439.152755744104,2.72964290572228e-11,1.79764142088654e-08,"Angpt2","angiopoietin 2","11601"
"ENSMUSG00000015980",5.25222758789019,5.21594393622961,436.902138803105,2.82527325446065e-11,1.79764142088654e-08,"Lrrc27","leucine rich repeat containing 27","76612"
"ENSMUSG00000029838",-6.42669259961273,9.29051088440338,434.330816598187,2.88131328169511e-11,1.79764142088654e-08,"Ptn","pleiotrophin","19242"
"ENSMUSG00000049493",-6.74544929771002,5.63536190358982,422.251354263094,3.11074243912833e-11,1.87589334426219e-08,"Pls1","plastin 1 (I-isoform)","102502"
"ENSMUSG00000050121",-7.79044191835935,8.78649322931352,428.23274947373,3.21409902570762e-11,1.87589334426219e-08,"Opalin","oligodendrocytic myelin paranodal and inner loop protein","226115"
"ENSMUSG00000026830",-7.24758507018448,8.35964680840966,421.167888044765,3.53218135710042e-11,1.99711741543806e-08,"Ermn","ermin, ERM-like protein","77767"
"ENSMUSG00000036634",-6.33670740794,8.96512195261413,413.748246883265,3.90021103214316e-11,2.13837933953231e-08,"Mag","myelin-associated glycoprotein","17136"
"ENSMUSG00000091475",-5.78882647050817,7.02725651898742,400.875553901638,4.80638397132886e-11,2.54776054005544e-08,"Cerox1","cytoplasmic endogenous regulator of oxidative phosphorylation 1","72834"
"ENSMUSG00000046240",-6.35208807878276,6.26570862013847,401.538330847296,5.05818214120554e-11,2.54776054005544e-08,"Hepacam","hepatocyte cell adhesion molecule","72927"
"ENSMUSG00000026458",-4.43898142026431,6.4617385316075,396.696147646503,5.06932954413286e-11,2.54776054005544e-08,"Ppfia4","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4","68507"
"ENSMUSG00000003974",-7.36824040458014,5.94522034437538,371.29403870331,5.25735205048238e-11,2.54804059194623e-08,"Grm3","glutamate receptor, metabotropic 3","108069"
"ENSMUSG00000091735",-7.73344480293934,4.93296998468355,275.789931846771,5.3515471449708e-11,2.54804059194623e-08,"Gpr62","G protein-coupled receptor 62","436090"
"ENSMUSG00000007888",10.4570822911103,7.89242191974216,400.895979888459,5.58834390895972e-11,2.59256170114893e-08,"Crlf1","cytokine receptor-like factor 1","12931"
"ENSMUSG00000024803",8.36873128442982,2.83992498012108,182.839949760775,5.96228081028335e-11,2.64717574925761e-08,"Ankrd1","ankyrin repeat domain 1","107765"
"ENSMUSG00000039661",-5.60776624186857,6.97398661463558,385.329423395761,6.12104179088207e-11,2.64717574925761e-08,"Dusp26","dual specificity phosphatase 26","66959"
"ENSMUSG00000031375",6.26422823582803,7.41128881099987,383.671800005621,6.23749499406592e-11,2.64717574925761e-08,"Bgn","biglycan","12111"
"ENSMUSG00000076439",-10.0014298693385,8.94308841021237,383.271533869283,6.29130366539973e-11,2.64717574925761e-08,"Mog","myelin oligodendrocyte glycoprotein","17441"
"ENSMUSG00000048022",-5.56945440150748,5.57688022860355,384.95579072185,6.52363264937581e-11,2.68254739829901e-08,"Tmem229a","transmembrane protein 229A","319832"
"ENSMUSG00000049723",11.6933099613689,13.003933872095,379.305973832039,6.79788520947349e-11,2.73320304655564e-08,"Mmp12","matrix metallopeptidase 12","17381"
"ENSMUSG00000020486",-6.5899429230533,10.1303241312202,371.803861347826,7.57817531845456e-11,2.91193498559751e-08,"Septin4","septin 4","18952"
"ENSMUSG00000029343",-7.94550740198593,6.69822896771249,368.873963108252,7.70123228230899e-11,2.91193498559751e-08,"Crybb1","crystallin, beta B1","12960"
"ENSMUSG00000051022",-5.47845855340623,5.46647679560233,374.933047689312,7.77686894320472e-11,2.91193498559751e-08,"Hs3st1","heparan sulfate (glucosamine) 3-O-sulfotransferase 1","15476"
"ENSMUSG00000032854",-5.79608737768257,6.9858247980892,369.139294227426,7.98093780194041e-11,2.91193498559751e-08,"Ugt8a","UDP galactosyltransferase 8A","22239"
"ENSMUSG00000073680",-6.25076358557865,6.84838334304966,369.808357929416,8.04713144751425e-11,2.91193498559751e-08,"Tmem278","transmembrane protein 278","320587"
"ENSMUSG00000043613",7.28699289158765,3.97118388153085,282.137884538564,8.58190797598879e-11,3.00684535666995e-08,"Mmp3","matrix metallopeptidase 3","17392"
"ENSMUSG00000022132",-7.67480146095984,7.24081403019162,362.159515127881,8.82138172522997e-11,3.00684535666995e-08,"Cldn10","claudin 10","58187"
"ENSMUSG00000055421",-5.31551964939277,6.49663422969347,362.450881791327,8.95410353257092e-11,3.00684535666995e-08,"Pcdh9","protocadherin 9","211712"
"ENSMUSG00000020774",-7.35446812195436,8.12332907673308,363.639219096966,8.97714684725119e-11,3.00684535666995e-08,"Aspa","aspartoacylase","11484"
"ENSMUSG00000041377",-6.40270252166007,5.07582589423919,350.554862390401,9.1403578520338e-11,3.00684535666995e-08,"Ninj2","ninjurin 2","29862"
"ENSMUSG00000047562",9.10958403546948,3.57082870382655,277.084748129068,1.02156978047211e-10,3.20595143863901e-08,"Mmp10","matrix metallopeptidase 10","17384"
"ENSMUSG00000100147",-5.77182644581628,5.44491530109032,358.21422113139,1.03298877562503e-10,3.20595143863901e-08,"1700047M11Rik","RIKEN cDNA 1700047M11 gene","67330"
"ENSMUSG00000053641",-4.41422504605419,6.12662694334926,353.585842169708,1.03608753974121e-10,3.20595143863901e-08,"Dennd4a","DENN domain containing 4A","102442"
"ENSMUSG00000047797",-6.1325814857781,6.81787939625203,353.090532413963,1.06004336673388e-10,3.20595143863901e-08,"Gjb1","gap junction protein, beta 1","14618"
"ENSMUSG00000022044",-7.61360588687007,7.7726887339341,355.366345665955,1.06923676753595e-10,3.20595143863901e-08,"Stmn4","stathmin-like 4","56471"
"ENSMUSG00000097585",-4.83327912826973,4.75013416240175,353.492253433341,1.08087679078638e-10,3.20595143863901e-08,"E230029C05Rik","RIKEN cDNA E230029C05 gene","319711"
"ENSMUSG00000036086",4.8606655049427,4.9897726886944,349.669410294733,1.12295077114219e-10,3.27702391972189e-08,"Zranb3","zinc finger, RAN-binding domain containing 3","226409"
"ENSMUSG00000051504",-9.18383094616967,9.25796803838352,348.483881271482,1.18156533145983e-10,3.34672722728988e-08,"Siglech","sialic acid binding Ig-like lectin H","233274"
"ENSMUSG00000024529",8.34515523855409,5.92693755843438,299.195251934724,1.19216257570635e-10,3.34672722728988e-08,"Lox","lysyl oxidase","16948"
"ENSMUSG00000026227",-6.99626715656192,3.29672945498819,216.195128018535,1.20878424375874e-10,3.34672722728988e-08,"2810459M11Rik","RIKEN cDNA 2810459M11 gene","72792"
"ENSMUSG00000068196",7.36468084310392,5.29140355102435,352.524582742693,1.22082571713443e-10,3.34672722728988e-08,"Col8a1","collagen, type VIII, alpha 1","12837"
"ENSMUSG00000017344",-6.22230345765333,8.509763595136,339.451221438842,1.33602805537874e-10,3.55902303250611e-08,"Vtn","vitronectin","22370"
"ENSMUSG00000002944",8.40281459724024,10.2671320342975,339.317442153721,1.33760883330799e-10,3.55902303250611e-08,"Cd36","CD36 molecule","12491"
"ENSMUSG00000031997",6.54429599763785,1.58991858264732,206.619936600748,1.54184696316219e-10,4.00816388010248e-08,"Trpc6","transient receptor potential cation channel, subfamily C, member 6","22068"
"ENSMUSG00000025854",4.51339687846846,7.43110183974555,331.114791271307,1.55389085170722e-10,4.00816388010248e-08,"Fam20c","FAM20C, golgi associated secretory pathway kinase","80752"
"ENSMUSG00000047976",-7.10335263138995,4.43195423509821,262.689930108974,1.57287147232231e-10,4.00816388010248e-08,"Kcna1","potassium voltage-gated channel, shaker-related subfamily, member 1","16485"
"ENSMUSG00000015090",-8.49235403116873,10.7955190876004,329.797740269706,1.60011123448856e-10,4.02094618966688e-08,"Ptgds","prostaglandin D2 synthase (brain)","19215"
"ENSMUSG00000032087",-7.11498452003377,3.50018321469496,196.739802980424,1.68518702171723e-10,4.0503051593035e-08,"Dscaml1","DS cell adhesion molecule like 1","114873"
"ENSMUSG00000073424",-7.95417266334781,4.50424202095352,198.940226385403,1.68619940808515e-10,4.0503051593035e-08,"Cyp4f15","cytochrome P450, family 4, subfamily f, polypeptide 15","106648"
"ENSMUSG00000059430",9.59765611572439,5.93027264028105,284.017296606989,1.69346246689426e-10,4.0503051593035e-08,"Actg2","actin, gamma 2, smooth muscle, enteric","11468"
"ENSMUSG00000023011",-5.10911535332859,5.83951379559253,327.372853972892,1.70888849917761e-10,4.0503051593035e-08,"Faim2","Fas apoptotic inhibitory molecule 2","72393"
"ENSMUSG00000029762",4.35256839410888,5.56646719781392,326.5023033666,1.72372462978152e-10,4.0503051593035e-08,"Akr1b8","aldo-keto reductase family 1, member B8","14187"
"ENSMUSG00000003849",4.65375301015045,5.29750711149506,324.662300700567,1.75885674283033e-10,4.07987116000374e-08,"Nqo1","NAD(P)H dehydrogenase, quinone 1","18104"
"ENSMUSG00000026424",-6.66537024968805,8.10018776931296,321.831508419958,1.86023725438763e-10,4.2406450737424e-08,"Gpr37l1","G protein-coupled receptor 37-like 1","171469"
"ENSMUSG00000041205",-5.39730736212295,5.47933313368868,324.395634025934,1.87504341955116e-10,4.2406450737424e-08,"Map6d1","MAP6 domain containing 1","208158"
"ENSMUSG00000060548",-5.74680547723448,4.97433554891633,324.600689939722,1.8987677331055e-10,4.24128451791083e-08,"Tnfrsf19","tumor necrosis factor receptor superfamily, member 19","29820"
"ENSMUSG00000032523",-7.383577955889,3.79825829378773,191.70206507269,2.06087767316639e-10,4.54725118787798e-08,"Hhatl","hedgehog acyltransferase-like","74770"
"ENSMUSG00000026208",4.96216260482476,5.86502238256787,315.324312784173,2.10533910856784e-10,4.58938560136361e-08,"Des","desmin","13346"
"ENSMUSG00000024810",-7.06943751329004,8.79341500539671,314.513162715763,2.14356087280117e-10,4.61707700852281e-08,"Il33","interleukin 33","77125"
"ENSMUSG00000018906",5.0134826822493,5.37009439339132,311.76611959915,2.26194291311401e-10,4.81474507376139e-08,"P4ha2","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide","18452"
"ENSMUSG00000030782",3.65470798028795,4.94750969685496,310.371627886524,2.32051101946727e-10,4.88197742735133e-08,"Tgfb1i1","transforming growth factor beta 1 induced transcript 1","21804"
"ENSMUSG00000035873",5.23512544558709,3.85427602761686,310.34842820996,2.44236651880066e-10,5.07928016375405e-08,"Pawr","PRKC, apoptosis, WT1, regulator","114774"
"ENSMUSG00000004105",4.41084413536491,5.32468351674642,306.85964013241,2.48939506792239e-10,5.11825283680908e-08,"Angptl2","angiopoietin-like 2","26360"
"ENSMUSG00000020591",-6.58430201272027,8.09484980371074,306.149194747857,2.54368311043298e-10,5.17110769854652e-08,"Ntsr2","neurotensin receptor 2","18217"
"ENSMUSG00000053626",7.64921630922044,1.73472892983369,155.501415315942,2.59900135930334e-10,5.19442587756241e-08,"Tll1","tolloid-like","21892"
"ENSMUSG00000116725",6.05303811191004,2.22150318271809,205.774554260889,2.61257256871817e-10,5.19442587756241e-08,"Gm29686","predicted gene, 29686","629091"
"ENSMUSG00000030310",-6.67300273649833,6.46454132624434,306.771669185007,2.65101344503201e-10,5.21356372401785e-08,"Slc6a1","solute carrier family 6 (neurotransmitter transporter, GABA), member 1","232333"
"ENSMUSG00000069919",-8.42757295902755,9.91598928439248,300.911050502972,2.82447142646011e-10,5.39134752538644e-08,"Hba-a1","hemoglobin alpha, adult chain 1","15122"
"ENSMUSG00000048939",-10.3472672013803,5.43978304263158,317.922198574883,2.83819237101474e-10,5.39134752538644e-08,"Atp13a5","ATPase type 13A5","268878"
"ENSMUSG00000045087",-7.00364362959837,5.73837342738627,298.643362282381,2.84251840909216e-10,5.39134752538644e-08,"S1pr5","sphingosine-1-phosphate receptor 5","94226"
"ENSMUSG00000056071",-10.5017697561714,6.08079265071338,192.140281435485,2.86060555152323e-10,5.39134752538644e-08,"S100a9","S100 calcium binding protein A9 (calgranulin B)","20202"
"ENSMUSG00000035686",-6.27086823427318,6.00092405846677,302.97945755111,2.8920593815399e-10,5.39443612270117e-08,"Thrsp","thyroid hormone responsive","21835"
"ENSMUSG00000023236",-5.9803390461684,5.40270035505723,301.248657831111,2.99047084236036e-10,5.52108050518632e-08,"Scg5","secretogranin V","20394"
"ENSMUSG00000052305",-7.68924988184274,9.17568908090772,293.804291798044,3.26978031903583e-10,5.97577124366822e-08,"Hbb-b1","hemoglobin, beta adult major chain","15129"
"ENSMUSG00000010064",-6.42829922574583,5.45855647251104,294.815668172384,3.37521777876851e-10,6.10410457937451e-08,"Slc38a3","solute carrier family 38, member 3","76257"
"ENSMUSG00000094530",3.70742063235145,4.80522213952472,291.224665928399,3.44025360665919e-10,6.10410457937451e-08,NA,NA,NA
"ENSMUSG00000028976",-8.83612462002662,7.23919546256804,271.629289257541,3.46554578369407e-10,6.10410457937451e-08,"Slc2a5","solute carrier family 2 (facilitated glucose transporter), member 5","56485"
"ENSMUSG00000019996",-5.01679195530948,5.89303157806027,291.589963041901,3.47495037680636e-10,6.10410457937451e-08,"Map7","microtubule-associated protein 7","17761"
"ENSMUSG00000027955",5.46263689532237,4.65560384566496,290.721127010071,3.55229435606685e-10,6.14837519843004e-08,"Gask1b","golgi associated kinase 1B","68659"
"ENSMUSG00000020182",-6.43088186930614,4.22182981367283,232.713140267427,3.57950150436612e-10,6.14837519843004e-08,"Ddc","dopa decarboxylase","13195"
"ENSMUSG00000027360",-9.34045812805113,4.06201279868035,179.629557152122,3.60209899427173e-10,6.14837519843004e-08,"Hdc","histidine decarboxylase","15186"
"ENSMUSG00000039462",6.95104613701584,1.44241627073984,131.54086942799,3.71801163018126e-10,6.28691443223079e-08,"Col10a1","collagen, type X, alpha 1","12813"
"ENSMUSG00000038526",-6.40998525893257,6.15181072957385,289.668181119056,3.79846938729226e-10,6.3634913540999e-08,"Car14","carbonic anhydrase 14","23831"
"ENSMUSG00000021573",-4.25618138965445,6.33845854796762,283.97176503733,4.01815488302226e-10,6.6534103523432e-08,"Tppp","tubulin polymerization promoting protein","72948"
"ENSMUSG00000032537",-6.05247171030584,4.75887217911843,276.121017360285,4.06113682519549e-10,6.6534103523432e-08,"Ephb1","Eph receptor B1","270190"
"ENSMUSG00000033450",-4.79742692508207,5.5493862354205,283.433483800757,4.08184684192835e-10,6.6534103523432e-08,"Tagap","T cell activation Rho GTPase activating protein","72536"
"ENSMUSG00000054510",7.93822040426487,2.972448203697,195.134507997768,4.12912318046594e-10,6.6703772950152e-08,"4930440I19Rik","RIKEN cDNA 4930440I19 gene","78158"
"ENSMUSG00000031425",-7.61812301576225,13.0835283764103,281.030634234226,4.2706589747524e-10,6.72531131526962e-08,"Plp1","proteolipid protein (myelin) 1","18823"
"ENSMUSG00000023367",-4.45922159620808,7.73125933051558,280.812659569871,4.29190983161262e-10,6.72531131526962e-08,"Tmem176a","transmembrane protein 176A","66058"
"ENSMUSG00000020155",4.18332354246417,4.34208136161296,280.881498651116,4.3046019398e-10,6.72531131526962e-08,"Kcnmb1","potassium large conductance calcium-activated channel, subfamily M, beta member 1","16533"
"ENSMUSG00000020333",-5.99542951813963,5.92196985529158,283.031582583375,4.31522356536426e-10,6.72531131526962e-08,"Acsl6","acyl-CoA synthetase long-chain family member 6","216739"
"ENSMUSG00000003545",-7.95233351295591,5.43442069125895,253.890275187385,4.34898261143285e-10,6.72531131526962e-08,"Fosb","Fos B proto-oncogene, AP-1 transcription factor subunit","14282"
"ENSMUSG00000041538",-6.13929467201243,4.13952780486221,269.995626911192,4.42934491281488e-10,6.78047990065463e-08,"H2-Ob","histocompatibility 2, O region beta locus","15002"
"ENSMUSG00000040055",-7.14149227869993,6.76067214294236,281.381724081878,4.53362709870261e-10,6.78047990065463e-08,"Gjb6","gap junction protein, beta 6","14623"
"ENSMUSG00000020325",6.68264344191528,2.61879343575683,201.55437522748,4.57498691037529e-10,6.78047990065463e-08,"Fstl3","follistatin-like 3","83554"
"ENSMUSG00000050854",-6.97670654527845,5.79667285453488,275.190641577633,4.59719338066016e-10,6.78047990065463e-08,"Tmem125","transmembrane protein 125","230678"
"ENSMUSG00000022658",-5.33217669373918,6.38229536120052,278.044202523897,4.60443895939422e-10,6.78047990065463e-08,"Tagln3","transgelin 3","56370"
"ENSMUSG00000039904",-6.16154465170824,7.13797058008948,278.326301007363,4.6095121194966e-10,6.78047990065463e-08,"Gpr37","G protein-coupled receptor 37","14763"
"ENSMUSG00000031253",6.75395236179206,3.1892251398225,265.183989363393,4.78468990048065e-10,6.96104747091852e-08,"Srpx2","sushi-repeat-containing protein, X-linked 2","68792"
"ENSMUSG00000033998",-7.79684805486546,6.14032306047468,249.469214971301,4.80921314245738e-10,6.96104747091852e-08,"Kcnk1","potassium channel, subfamily K, member 1","16525"
"ENSMUSG00000027674",-4.82366014880791,4.9741207804466,277.019846394086,4.91321995622992e-10,7.0551498942911e-08,"Pex5l","peroxisomal biogenesis factor 5-like","58869"
"ENSMUSG00000046314",-4.96602021481845,4.33626659393964,275.912332916323,5.1379942935938e-10,7.31982131921202e-08,"Stxbp6","syntaxin binding protein 6 (amisyn)","217517"
"ENSMUSG00000027750",4.14427426686688,3.91474823706249,272.593127059705,5.18961389573575e-10,7.33560032933961e-08,"Postn","periostin, osteoblast specific factor","50706"
"ENSMUSG00000036814",-8.36492139303734,4.45531214188053,198.409461210478,5.26919611932104e-10,7.39035390595935e-08,"Slc6a20a","solute carrier family 6 (neurotransmitter transporter), member 20A","102680"
"ENSMUSG00000031104",-5.80692728126819,4.1320047157199,262.415711749418,5.33708229234739e-10,7.42798691657241e-08,"Rab33a","RAB33A, member RAS oncogene family","19337"
"ENSMUSG00000026255",-5.479980259963,5.90392202183075,271.694635087421,5.54062451572891e-10,7.64384611380298e-08,"Efhd1","EF hand domain containing 1","98363"
"ENSMUSG00000076609",-11.643125422213,5.28586890773877,284.221905969011,5.57667433273638e-10,7.64384611380298e-08,"Igkc","immunoglobulin kappa constant","16071"
"ENSMUSG00000076617",-7.63164154353999,7.60555459357228,269.703534337608,5.63248205466664e-10,7.66229306880327e-08,"Ighm","immunoglobulin heavy constant mu","16019"
"ENSMUSG00000049612",-7.14137281801223,7.70731493085446,269.013355805482,5.75260679698316e-10,7.76730707297137e-08,"Omg","oligodendrocyte myelin glycoprotein","18377"
"ENSMUSG00000049721",-5.22582193066237,5.22945923066661,268.717654643263,5.86121482443935e-10,7.85533035693194e-08,"Gal3st1","galactose-3-O-sulfotransferase 1","53897"
"ENSMUSG00000055254",-5.64791013554959,6.85012192492305,265.641732389626,6.06891846701815e-10,8.04237174216413e-08,"Ntrk2","neurotrophic tyrosine kinase, receptor, type 2","18212"
"ENSMUSG00000060147",3.58906228463378,7.78979607187929,264.991967205259,6.12594415399766e-10,8.04237174216413e-08,"Serpinb6a","serine (or cysteine) peptidase inhibitor, clade B, member 6a","20719"
"ENSMUSG00000089633",-6.91231680928137,4.04626925312635,165.560022874186,6.13412535466009e-10,8.04237174216413e-08,"A230009B12Rik","RIKEN cDNA A230009B12 gene","319750"
"ENSMUSG00000036103",4.23757549287458,5.54355710426702,264.457216385355,6.20841831510964e-10,8.07793053507878e-08,"Colec12","collectin sub-family member 12","140792"
"ENSMUSG00000055717",-4.87455167867114,6.28776107630008,264.473801417115,6.25054040187381e-10,8.07793053507878e-08,"Slain1","SLAIN motif family, member 1","105439"
"ENSMUSG00000032496",-7.79896823000232,3.51566529298908,172.777437089183,6.3220405214536e-10,8.11238859252908e-08,"Ltf","lactotransferrin","17002"
"ENSMUSG00000034488",-4.42005840480694,6.46660513841314,263.270146711104,6.39746084668247e-10,8.15135627457929e-08,"Edil3","EGF-like repeats and discoidin I-like domains 3","13612"
"ENSMUSG00000040138",-4.89805434722356,4.24365144345634,265.000522956574,6.565985512994e-10,8.3075787333287e-08,"Ndp","Norrie disease (pseudoglioma) (human)","17986"
"ENSMUSG00000032118",-4.26933825644882,8.72621957888248,261.264666044789,6.68287938389075e-10,8.39675949255107e-08,"Fez1","fasciculation and elongation protein zeta 1","235180"
"ENSMUSG00000001349",8.68284033092364,6.2840979751355,264.758780689234,6.7746819902984e-10,8.43573084909992e-08,"Cnn1","calponin 1","12797"
"ENSMUSG00000024087",5.65790444345476,3.61632703734254,266.187736942026,6.80714477404846e-10,8.43573084909992e-08,"Cyp1b1","cytochrome P450, family 1, subfamily b, polypeptide 1","13078"
"ENSMUSG00000028327",5.46941053195949,3.72917343305355,251.349557045833,6.89973392868812e-10,8.4495659575534e-08,"Stra6l","STRA6-like","74152"
"ENSMUSG00000003934",-7.38568480502217,4.95344401169535,218.361562353067,6.91233305919562e-10,8.4495659575534e-08,"Efnb3","ephrin B3","13643"
"ENSMUSG00000030218",4.33611988862206,7.25937193162295,259.549634955672,6.95841114063702e-10,8.4495659575534e-08,"Mgp","matrix Gla protein","17313"
"ENSMUSG00000069917",-7.27732984322905,6.72248724999492,260.241754026563,7.11168146956928e-10,8.55413403307966e-08,"Hba-a2","hemoglobin alpha, adult chain 2","110257"
"ENSMUSG00000045608",-6.46852432343538,5.72722383807484,261.183745300409,7.13908273362642e-10,8.55413403307966e-08,"Dbx2","developing brain homeobox 2","223843"
"ENSMUSG00000030737",-5.65270527294637,7.13011056212804,257.726053824822,7.29926314526504e-10,8.68852421626844e-08,"Slco2b1","solute carrier organic anion transporter family, member 2b1","101488"
"ENSMUSG00000033595",-7.68716869127959,7.36850401846063,258.392477438313,7.6353437213195e-10,9.02916823201528e-08,"Lgi3","leucine-rich repeat LGI family, member 3","213469"
"ENSMUSG00000005124",6.65746203408541,3.79668270065355,259.134657603886,7.71747853616873e-10,9.06703501005849e-08,"Ccn4","cellular communication network factor 4","22402"
"ENSMUSG00000037996",-6.70392200329647,5.11676103141926,244.725391596636,7.8287013987929e-10,9.10053612051785e-08,"Slc24a2","solute carrier family 24 (sodium/potassium/calcium exchanger), member 2","76376"
"ENSMUSG00000022548",-8.85293505428467,10.0494311144058,254.651010457184,7.84659058641897e-10,9.10053612051785e-08,"Apod","apolipoprotein D","11815"
"ENSMUSG00000031517",-6.1811937701485,8.17120509657111,253.708846279633,8.02369384380318e-10,9.14643006026162e-08,"Gpm6a","glycoprotein m6a","234267"
"ENSMUSG00000021253",4.39796486626809,4.92983211217663,253.649721828157,8.03522212048507e-10,9.14643006026162e-08,"Tgfb3","transforming growth factor, beta 3","21809"
"ENSMUSG00000032484",-8.80525586413067,5.60642196788166,213.890442495452,8.03781782778753e-10,9.14643006026162e-08,"Ngp","neutrophilic granule protein","18054"
"ENSMUSG00000056966",-5.71760177589719,6.2279670887956,254.292790191605,8.10482908125416e-10,9.16504203544572e-08,"Gjc3","gap junction protein, gamma 3","118446"
"ENSMUSG00000002997",3.98053688495384,4.51252313231115,252.534620552002,8.26905678068896e-10,9.29267356105623e-08,"Prkar2b","protein kinase, cAMP dependent regulatory, type II beta","19088"
"ENSMUSG00000030247",-4.62302347709762,5.25864234441541,253.568899254467,8.41821380514465e-10,9.40189767756063e-08,"Kcnj8","potassium inwardly-rectifying channel, subfamily J, member 8","16523"
"ENSMUSG00000081225",-7.4398991854477,4.71794306103563,185.339316696077,8.66391000084533e-10,9.61694010093832e-08,"Cyp2j12","cytochrome P450, family 2, subfamily j, polypeptide 12","242546"
