"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000070315",-2.07486468740253,2.0669334247836,28.0571084643817,0.000153791094800179,0.000854064542117752,"4930581F22Rik","RIKEN cDNA 4930581F22 gene","78934"
"ENSMUSG00000062184",2.65492598302794,1.00775610616656,27.9304214894195,0.000153957772741878,0.00085472782516686,"Hs6st2","heparan sulfate 6-O-sulfotransferase 2","50786"
"ENSMUSG00000027340",1.09154482373928,6.45439802618851,27.9586148665885,0.000154150341512345,0.000855384652408184,"Slc23a2","solute carrier family 23 (nucleobase transporters), member 2","54338"
"ENSMUSG00000021707",1.23095187233873,4.21685961710629,27.9593976317693,0.000154170637898806,0.000855384652408184,"Dhfr","dihydrofolate reductase","13361"
"ENSMUSG00000120298",-2.39771815330272,1.2936370848409,28.0478033252904,0.000154503103669081,0.000856966479057228,NA,NA,NA
"ENSMUSG00000039716",-2.36218630090346,2.27716447351541,28.0026379627982,0.000155094708701363,0.000859984236755671,"Dock3","dedicator of cyto-kinesis 3","208869"
"ENSMUSG00000037606",1.99134936036156,2.96493301590466,27.9174510348485,0.000155325781906783,0.00086100164584541,"Osbpl5","oxysterol binding protein-like 5","79196"
"ENSMUSG00000022582",-4.53466463241533,-0.777663181542244,24.0240094544175,0.000155468394275604,0.00086152822591991,"Ly6g","lymphocyte antigen 6 family member G","546644"
"ENSMUSG00000052833",1.31343182237248,7.0461997233165,27.8967876369763,0.000155701370424419,0.000862555081166262,"Sae1","SUMO1 activating enzyme subunit 1","56459"
"ENSMUSG00000060183",-8.86389774900489,0.325482676868962,30.6669877510625,0.000155909296742913,0.000863442579115252,NA,NA,NA
"ENSMUSG00000039286",1.43050787859097,4.79591036265652,27.8609300652548,0.000156624179065718,0.000867136252091808,"Fndc3b","fibronectin type III domain containing 3B","72007"
"ENSMUSG00000090877",-3.98513493578895,6.36862151786457,27.8586973708325,0.000156715090174073,0.00086737415922897,"Hspa1b","heat shock protein 1B","15511"
