"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000108455",-0.250270715695253,1.07148753217726,0.261157016825696,0.617897034315855,0.786521108898042,NA,NA,NA
"ENSMUSG00000004591",0.116931587879023,4.84831941017614,0.261260015632222,0.617946995961289,0.786529370237608,"Pkn2","protein kinase N2","109333"
"ENSMUSG00000030895",-0.18926068219574,0.802904732193104,0.259889545415099,0.618071270292633,0.786632209721764,"Hpx","hemopexin","15458"
"ENSMUSG00000031144",-0.137437896474716,2.46982097550596,0.260668412004888,0.618347039022688,0.786883816588508,"Syp","synaptophysin","20977"
"ENSMUSG00000002329",-0.0912132156769561,5.6018677287215,0.26059922810018,0.618387138912342,0.786883816588508,"Mdp1","magnesium-dependent phosphatase 1","67881"
"ENSMUSG00000097000",0.313721297722573,0.814123843129017,0.260635323108289,0.618399435586801,0.786883816588508,NA,NA,NA
"ENSMUSG00000037979",0.157304705396493,2.26522009408851,0.260336255167475,0.618565939505793,0.786944306080032,"Ccdc92","coiled-coil domain containing 92","215707"
"ENSMUSG00000040488",-0.245293296089557,3.17375729408969,0.260330527685395,0.618567568363937,0.786944306080032,"Ltbp4","latent transforming growth factor beta binding protein 4","108075"
"ENSMUSG00000027615",-0.110073707539716,4.81943691268913,0.260314230685517,0.61857745653403,0.786944306080032,"Hps3","HPS3, biogenesis of lysosomal organelles complex 2 subunit 1","12807"
"ENSMUSG00000020003",-0.106858599083691,5.85808151747118,0.260166564896435,0.618675807369565,0.786977242706387,"Pex7","peroxisomal biogenesis factor 7","18634"
"ENSMUSG00000055652",-0.119800919443016,4.08410529573132,0.2601077502743,0.618715467985655,0.786977242706387,"Klhl25","kelch-like 25","207952"
"ENSMUSG00000028807",0.194397299871066,1.61770523037719,0.260093443850405,0.618733835046612,0.786977242706387,"Zbtb8a","zinc finger and BTB domain containing 8a","73680"
"ENSMUSG00000027394",0.129602492826629,3.39205758320074,0.259947688248435,0.618823069659008,0.787035413984284,"Ttl","tubulin tyrosine ligase","69737"
"ENSMUSG00000020917",0.113840938080104,6.09203100318998,0.259784681629973,0.618930876731634,0.787110636546575,"Acly","ATP citrate lyase","104112"
"ENSMUSG00000006586",-0.268702131940578,1.5731726598006,0.259742617834149,0.618969222173474,0.787110636546575,"Runx1t1","RUNX1 translocation partner 1","12395"
"ENSMUSG00000093989",0.259785603718349,0.207924412132678,0.259720519677527,0.619052932388938,0.78716176159344,"Rnasek","ribonuclease, RNase K","52898"
"ENSMUSG00000044022",-0.306486286350932,-0.461703735776829,0.259656012557467,0.619142376787081,0.787220170288733,"Pcdhb21","protocadherin beta 21","93892"
"ENSMUSG00000032415",-0.22858959423225,0.479775351016955,0.259333163985798,0.619284277454361,0.787237370587366,"Ube3d","ubiquitin protein ligase E3D","70348"
"ENSMUSG00000080814",-0.369599354053151,-0.928401994351191,0.257893534160544,0.619286164097567,0.787237370587366,"Gm12314","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene","100418186"
"ENSMUSG00000041879",0.123175416552058,5.16688541667065,0.259241243407355,0.619294369825524,0.787237370587366,"Ipo9","importin 9","226432"
"ENSMUSG00000025408",-0.15746855648838,6.39198475929251,0.259187924675412,0.619329947103331,0.787237370587366,"Ddit3","DNA-damage inducible transcript 3","13198"
"ENSMUSG00000073771",0.143173775420887,3.54822740296164,0.259095827414738,0.619392583276666,0.78726167960834,"Btbd19","BTB domain containing 19","78611"
"ENSMUSG00000024773",0.166010644049737,3.41494437166654,0.258970852093751,0.619476288932851,0.787312763111975,"Atg2a","autophagy related 2A","329015"
"ENSMUSG00000056665",0.328478218247334,-0.371389163697869,0.258758179598438,0.619727762929543,0.787577046757338,"Them6","thioesterase superfamily member 6","223626"
"ENSMUSG00000026135",-0.175125133070996,2.10593391642075,0.258524826228469,0.619778026110756,0.78757991521179,"Zfp142","zinc finger protein 142","77264"
"ENSMUSG00000002825",-0.143261053201886,4.55172502205028,0.258422551524069,0.619842906805259,0.78757991521179,"Qtrt1","queuine tRNA-ribosyltransferase catalytic subunit 1","60507"
"ENSMUSG00000028980",0.167479594021999,4.01703285430567,0.258397253038518,0.619860608667213,0.78757991521179,"H6pd","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)","100198"
"ENSMUSG00000023439",-0.259394274108365,-0.636294166744221,0.256322963957158,0.619931581529556,0.787614781589372,"Gnb3","guanine nucleotide binding protein (G protein), beta 3","14695"
"ENSMUSG00000086942",-0.337430786025704,-1.11952320364661,0.256326040224035,0.620123601239497,0.787803420673095,NA,NA,NA
"ENSMUSG00000068732",0.131026385366122,5.29768675697435,0.257736074475863,0.620303367756966,0.787976467937006,"Tmem167b","transmembrane protein 167B","67495"
"ENSMUSG00000066632",0.263581502813294,1.18815924618573,0.257417507504866,0.620571066140184,0.788261183633414,NA,NA,NA
"ENSMUSG00000029518",-0.213202790035296,3.25343870092823,0.257146047987458,0.620700925150989,0.788330242475076,"Rab35","RAB35, member RAS oncogene family","77407"
"ENSMUSG00000021549",-0.118265919457513,5.59638241499781,0.257067694453246,0.620752606961174,0.788330242475076,"Rasa1","RAS p21 protein activator 1","218397"
"ENSMUSG00000060572",0.181741304724508,2.67421543276705,0.257066749486277,0.620756146827083,0.788330242475076,"Mfap2","microfibrillar-associated protein 2","17150"
"ENSMUSG00000002985",-0.145491546063802,12.7620996346371,0.256675289329367,0.621016675430451,0.788571416681842,"Apoe","apolipoprotein E","11816"
"ENSMUSG00000025878",0.0984621534185929,4.52083751356605,0.256651123895705,0.621033223694223,0.788571416681842,"Uimc1","ubiquitin interaction motif containing 1","20184"
"ENSMUSG00000029673",-0.246673486962975,3.28067052259592,0.256516853788531,0.621130311507653,0.788639349200559,"Auts2","autism susceptibility candidate 2","319974"
"ENSMUSG00000013495",-0.166549925394577,5.59687519073048,0.256204026588559,0.621334242080492,0.7888090570015,"Tmem175","transmembrane protein 175","72392"
"ENSMUSG00000042572",0.133662697568862,4.91746697725578,0.256073759564337,0.621422208400821,0.7888090570015,"Ube2q1","ubiquitin-conjugating enzyme E2Q family member 1","70093"
"ENSMUSG00000020817",0.107312360881377,5.55749801227762,0.255929676515558,0.621519236394391,0.7888090570015,"Rabep1","rabaptin, RAB GTPase binding effector protein 1","54189"
"ENSMUSG00000020288",0.14138294467105,4.80154556732478,0.255927294871421,0.621521034843768,0.7888090570015,"Ahsa2","AHA1, activator of heat shock protein ATPase 2","268390"
"ENSMUSG00000027981",-0.125363279025195,4.19000902047598,0.255856506082768,0.621569112052129,0.7888090570015,"Rnpc3","RNA-binding region (RNP1, RRM) containing 3","67225"
"ENSMUSG00000028684",0.113182297683121,6.1516707120653,0.255840153356502,0.621579631619882,0.7888090570015,"Urod","uroporphyrinogen decarboxylase","22275"
"ENSMUSG00000037750",0.107230454697169,4.11559928192978,0.2558407668839,0.621579642999128,0.7888090570015,"Fam222b","family with sequence similarity 222, member B","216971"
"ENSMUSG00000010663",-0.113590445823168,6.11148536010524,0.255787600951064,0.621615097089342,0.7888090570015,"Fads1","fatty acid desaturase 1","76267"
"ENSMUSG00000120632",-0.316700464056782,-1.2935045045675,0.25811455743846,0.621669560665315,0.7888090570015,NA,NA,NA
"ENSMUSG00000103663",-0.471511164088639,-0.338855063909681,0.258091874661505,0.621699947650549,0.7888090570015,NA,NA,NA
"ENSMUSG00000110393",0.19531922655649,1.03536283416324,0.255483905709984,0.621840936636533,0.788932618088829,NA,NA,NA
"ENSMUSG00000024427",-0.200369442089962,2.71013233830218,0.255263472462421,0.621971551807974,0.789043001462745,"Spry4","sprouty RTK signaling antagonist 4","24066"
"ENSMUSG00000087380",0.12257824111482,3.70150959494417,0.255129302588352,0.622060486018253,0.789100495935515,"2210408F21Rik","RIKEN cDNA 2210408F21 gene","73652"
"ENSMUSG00000052155",-0.124688124594694,2.82436612278581,0.254932409940444,0.622194542014151,0.789199598878901,"Acvr2a","activin receptor IIA","11480"
"ENSMUSG00000061665",-0.17850014578271,4.31336632433957,0.25488438710617,0.622225848560632,0.789199598878901,"Cd2ap","CD2-associated protein","12488"
"ENSMUSG00000101102",-0.257099996276301,-0.577765556797791,0.257059206271288,0.622419207895546,0.789389508513536,NA,NA,NA
"ENSMUSG00000025423",0.112513520777226,4.95094233494566,0.254299018663447,0.622621718469388,0.789577573292808,"Pias2","protein inhibitor of activated STAT 2","17344"
"ENSMUSG00000039278",0.232031526898182,5.31480024067407,0.254195194642896,0.622691960229821,0.789577573292808,"Pcsk1n","proprotein convertase subtilisin/kexin type 1 inhibitor","30052"
"ENSMUSG00000044345",-0.144659918254334,4.15329897470508,0.254186640512813,0.622698413381699,0.789577573292808,"Marveld1","MARVEL (membrane-associating) domain containing 1","277010"
"ENSMUSG00000026281",0.0958013138180417,5.51113563869428,0.253898014513478,0.622893329447822,0.789758567142884,"Dtymk","deoxythymidylate kinase","21915"
"ENSMUSG00000093672",0.199339073233902,-0.0814027691963333,0.253099755725479,0.622928453639314,0.789758567142884,"Gm20655","predicted gene 20655","102635429"
"ENSMUSG00000032295",0.097907077862772,4.46819927421415,0.253731406371036,0.623006585787516,0.789791925122048,"Man2c1","mannosidase, alpha, class 2C, member 1","73744"
